X                       ,Y                       ,T   
1.799999999999999864e-02,6.000000000000000125e-03,3.687706999999999766e+02
3.599999999999999728e-02,6.000000000000000125e-03,3.688177999999999770e+02
5.399999999999999939e-02,6.000000000000000125e-03,3.688478000000000065e+02
7.199999999999999456e-02,6.000000000000000125e-03,3.688675000000000068e+02
8.999999999999999667e-02,6.000000000000000125e-03,3.688808000000000220e+02
1.079999999999999988e-01,6.000000000000000125e-03,3.688903000000000247e+02
1.260000000000000009e-01,6.000000000000000125e-03,3.688971000000000231e+02
1.439999999999999891e-01,6.000000000000000125e-03,3.689023000000000252e+02
1.620000000000000051e-01,6.000000000000000125e-03,3.689062999999999874e+02
1.799999999999999933e-01,6.000000000000000125e-03,3.689094000000000051e+02
1.980000000000000093e-01,6.000000000000000125e-03,3.689119999999999777e+02
2.159999999999999976e-01,6.000000000000000125e-03,3.689139999999999873e+02
2.340000000000000135e-01,6.000000000000000125e-03,3.689157999999999902e+02
2.520000000000000018e-01,6.000000000000000125e-03,3.689171999999999798e+02
2.700000000000000178e-01,6.000000000000000125e-03,3.689184000000000196e+02
2.879999999999999782e-01,6.000000000000000125e-03,3.689193999999999960e+02
3.059999999999999942e-01,6.000000000000000125e-03,3.689202999999999975e+02
3.240000000000000102e-01,6.000000000000000125e-03,3.689209999999999923e+02
3.420000000000000262e-01,6.000000000000000125e-03,3.689216000000000122e+02
3.599999999999999867e-01,6.000000000000000125e-03,3.689221000000000004e+02
3.780000000000000027e-01,6.000000000000000125e-03,3.689225000000000136e+02
3.960000000000000187e-01,6.000000000000000125e-03,3.689227999999999952e+02
4.139999999999999791e-01,6.000000000000000125e-03,3.689230000000000018e+02
4.319999999999999951e-01,6.000000000000000125e-03,3.689232000000000085e+02
4.500000000000000111e-01,6.000000000000000125e-03,3.689232999999999834e+02
4.680000000000000271e-01,6.000000000000000125e-03,3.689232999999999834e+02
4.859999999999999876e-01,6.000000000000000125e-03,3.689232000000000085e+02
5.040000000000000036e-01,6.000000000000000125e-03,3.689230000000000018e+02
5.220000000000000195e-01,6.000000000000000125e-03,3.689227999999999952e+02
5.400000000000000355e-01,6.000000000000000125e-03,3.689225000000000136e+02
5.580000000000000515e-01,6.000000000000000125e-03,3.689221000000000004e+02
5.759999999999999565e-01,6.000000000000000125e-03,3.689216000000000122e+02
5.939999999999999725e-01,6.000000000000000125e-03,3.689209999999999923e+02
6.119999999999999885e-01,6.000000000000000125e-03,3.689202999999999975e+02
6.300000000000000044e-01,6.000000000000000125e-03,3.689193999999999960e+02
6.480000000000000204e-01,6.000000000000000125e-03,3.689184000000000196e+02
6.660000000000000364e-01,6.000000000000000125e-03,3.689171999999999798e+02
6.840000000000000524e-01,6.000000000000000125e-03,3.689157999999999902e+02
7.019999999999999574e-01,6.000000000000000125e-03,3.689139999999999873e+02
7.199999999999999734e-01,6.000000000000000125e-03,3.689119999999999777e+02
7.379999999999999893e-01,6.000000000000000125e-03,3.689094000000000051e+02
7.560000000000000053e-01,6.000000000000000125e-03,3.689062999999999874e+02
7.740000000000000213e-01,6.000000000000000125e-03,3.689023000000000252e+02
7.920000000000000373e-01,6.000000000000000125e-03,3.688971000000000231e+02
8.100000000000000533e-01,6.000000000000000125e-03,3.688903000000000247e+02
8.279999999999999583e-01,6.000000000000000125e-03,3.688808000000000220e+02
8.459999999999999742e-01,6.000000000000000125e-03,3.688675000000000068e+02
8.639999999999999902e-01,6.000000000000000125e-03,3.688478000000000065e+02
