353.5899 0.1948  344.9016 0.1669  340.5003 0.1528  337.6669 0.1436  335.6232 0.1371  334.0487 0.1320  332.7832 0.1279  331.7361 0.1246  330.8516 0.1217  330.0932 0.1193  329.4357 0.1172  328.8610 0.1153  328.3558 0.1137  327.9097 0.1123  327.5150 0.1110  327.1653 0.1099  326.8555 0.1089  326.5813 0.1080  326.3395 0.1072  326.1269 0.1065  325.9411 0.1059  325.7801 0.1054  325.6418 0.1050  325.5249 0.1046  325.4278 0.1043  325.3493 0.1040  325.2883 0.1038  325.2438 0.1037  325.2150 0.1036  325.2011 0.1036  
356.0487 0.1687  348.2348 0.1478  344.2176 0.1370  341.6075 0.1301  339.7124 0.1250  338.2453 0.1211  337.0616 0.1179  336.0793 0.1153  335.2475 0.1130  334.5327 0.1111  333.9120 0.1095  333.3687 0.1080  332.8904 0.1067  332.4678 0.1056  332.0934 0.1046  331.7614 0.1037  331.4671 0.1029  331.2065 0.1022  330.9765 0.1016  330.7742 0.1011  330.5974 0.1006  330.4441 0.1002  330.3124 0.0998  330.2010 0.0995  330.1085 0.0993  330.0337 0.0991  329.9755 0.0989  329.9331 0.0988  329.9057 0.0988  329.8924 0.0987  
357.3455 0.1551  350.0206 0.1374  346.2268 0.1283  343.7502 0.1223  341.9462 0.1180  340.5463 0.1146  339.4147 0.1119  338.4741 0.1096  337.6767 0.1077  336.9908 0.1060  336.3947 0.1046  335.8725 0.1033  335.4125 0.1022  335.0058 0.1012  334.6454 0.1004  334.3257 0.0996  334.0421 0.0989  333.7911 0.0983  333.5693 0.0978  333.3743 0.0973  333.2038 0.0969  333.0559 0.0965  332.9289 0.0962  332.8214 0.0960  332.7321 0.0958  332.6599 0.0956  332.6038 0.0955  332.5630 0.0954  332.5364 0.0953  332.5236 0.0953  
358.2037 0.1462  351.2130 0.1305  347.5748 0.1223  345.1927 0.1170  343.4539 0.1131  342.1025 0.1101  341.0087 0.1076  340.0987 0.1056  339.3267 0.1038  338.6622 0.1024  338.0843 0.1011  337.5778 0.0999  337.1316 0.0989  336.7369 0.0980  336.3870 0.0973  336.0765 0.0966  335.8011 0.0959  335.5572 0.0954  335.3417 0.0949  335.1522 0.0945  334.9865 0.0941  334.8427 0.0938  334.7193 0.0935  334.6148 0.0933  334.5280 0.0931  334.4578 0.0929  334.4033 0.0928  334.3635 0.0927  334.3377 0.0927  334.3252 0.0926  
358.8350 0.1396  352.0953 0.1253  348.5755 0.1179  346.2659 0.1130  344.5776 0.1094  343.2638 0.1066  342.1997 0.1043  341.3138 0.1025  340.5616 0.1009  339.9140 0.0995  339.3506 0.0983  338.8566 0.0972  338.4213 0.0963  338.0361 0.0955  337.6946 0.0948  337.3915 0.0941  337.1226 0.0936  336.8844 0.0931  336.6740 0.0926  336.4889 0.0922  336.3270 0.0919  336.1866 0.0916  336.0660 0.0913  335.9639 0.0911  335.8791 0.0909  335.8105 0.0908  335.7573 0.0907  335.7184 0.0906  335.6932 0.0905  335.6810 0.0905  
359.3289 0.1345  352.7886 0.1213  349.3639 0.1143  347.1129 0.1097  345.4655 0.1064  344.1825 0.1038  343.1425 0.1017  342.2763 0.0999  341.5405 0.0984  340.9068 0.0972  340.3553 0.0960  339.8717 0.0951  339.4453 0.0942  339.0681 0.0934  338.7335 0.0927  338.4366 0.0921  338.1731 0.0916  337.9396 0.0911  337.7334 0.0907  337.5520 0.0904  337.3933 0.0900  337.2557 0.0898  337.1374 0.0895  337.0373 0.0893  336.9542 0.0891  336.8870 0.0890  336.8347 0.0889  336.7966 0.0888  336.7719 0.0888  336.7600 0.0887  
359.7314 0.1304  353.3557 0.1179  350.0099 0.1114  347.8079 0.1071  346.1948 0.1039  344.9376 0.1015  343.9181 0.0995  343.0684 0.0978  342.3466 0.0964  341.7247 0.0952  341.1833 0.0941  340.7084 0.0932  340.2897 0.0924  339.9192 0.0917  339.5905 0.0910  339.2988 0.0905  339.0399 0.0899  338.8106 0.0895  338.6079 0.0891  338.4296 0.0888  338.2737 0.0885  338.1384 0.0882  338.0222 0.0880  337.9238 0.0878  337.8421 0.0876  337.7760 0.0875  337.7246 0.0874  337.6872 0.0873  337.6629 0.0873  337.6512 0.0872  
360.0692 0.1269  353.8329 0.1151  350.5544 0.1089  348.3942 0.1048  346.8106 0.1018  345.5756 0.0995  344.5737 0.0976  343.7384 0.0960  343.0286 0.0947  342.4168 0.0935  341.8842 0.0925  341.4170 0.0916  341.0049 0.0908  340.6402 0.0901  340.3167 0.0895  340.0295 0.0890  339.7747 0.0885  339.5488 0.0881  339.3493 0.0877  339.1738 0.0874  339.0202 0.0871  338.8869 0.0868  338.7725 0.0866  338.6756 0.0864  338.5952 0.0863  338.5301 0.0862  338.4795 0.0861  338.4426 0.0860  338.4187 0.0859  338.4071 0.0859  
360.3588 0.1239  354.2431 0.1127  351.0230 0.1068  348.8994 0.1029  347.3414 0.1000  346.1260 0.0978  345.1395 0.0959  344.3168 0.0944  343.6175 0.0931  343.0147 0.0920  342.4898 0.0911  342.0293 0.0902  341.6231 0.0895  341.2636 0.0888  340.9446 0.0882  340.6614 0.0877  340.4101 0.0872  340.1874 0.0868  339.9906 0.0865  339.8175 0.0861  339.6660 0.0859  339.5346 0.0856  339.4217 0.0854  339.3262 0.0852  339.2468 0.0851  339.1826 0.0850  339.1327 0.0849  339.0963 0.0848  339.0727 0.0848  339.0613 0.0848  
360.6113 0.1214  354.6015 0.1106  351.4330 0.1049  349.3417 0.1011  347.8065 0.0984  346.6084 0.0962  345.6356 0.0945  344.8241 0.0930  344.1342 0.0918  343.5395 0.0907  343.0214 0.0898  342.5669 0.0890  342.1659 0.0883  341.8110 0.0876  341.4961 0.0870  341.2165 0.0865  340.9684 0.0861  340.7484 0.0857  340.5541 0.0854  340.3831 0.0851  340.2336 0.0848  340.1038 0.0845  339.9923 0.0843  339.8979 0.0842  339.8195 0.0840  339.7561 0.0839  339.7068 0.0838  339.6709 0.0838  339.6476 0.0837  339.6363 0.0837  
360.8346 0.1191  354.9190 0.1087  351.7965 0.1032  349.7340 0.0996  348.2193 0.0969  347.0367 0.0949  346.0762 0.0932  345.2749 0.0918  344.5934 0.0906  344.0058 0.0895  343.4940 0.0886  343.0449 0.0879  342.6487 0.0872  342.2979 0.0865  341.9866 0.0860  341.7103 0.0855  341.4650 0.0851  341.2476 0.0847  341.0555 0.0844  340.8864 0.0841  340.7386 0.0838  340.6103 0.0836  340.5001 0.0834  340.4067 0.0832  340.3292 0.0831  340.2665 0.0830  340.2178 0.0829  340.1823 0.0828  340.1592 0.0828  340.1481 0.0828  
